Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Open wound of neck,"Injury, poisoning and certain other consequences of external causes",804,775,16.0,3.0,10.0,23.0,4.0,18,104.0,406.0,338.0,129,19,96.39303482587064,1
Fracture of neck,"Injury, poisoning and certain other consequences of external causes",6061,5626,125.0,54.0,256.0,24.0,15.0,2,94.0,755.0,1858.0,5826,1406,92.82296650717703,1
"Dislocation, sprain and strain of joints and ligaments at neck level","Injury, poisoning and certain other consequences of external causes",715,664,22.0,14.0,15.0,25.0,6.0,24,104.0,216.0,252.0,254,57,92.86713286713287,1
Injury of nerves and spinal cord at neck level,"Injury, poisoning and certain other consequences of external causes",773,524,78.0,32.0,139.0,96.0,52.0,2,20.0,151.0,510.0,720,41,67.78783958602847,0
Injury of blood vessels at neck level,"Injury, poisoning and certain other consequences of external causes",95,90,3.0,1.0,1.0,13.0,10.0,0,8.0,68.0,46.0,27,1,94.73684210526315,1
Injury of muscle and tendon at neck level,"Injury, poisoning and certain other consequences of external causes",130,128,2.0,0.0,0.0,41.0,2.0,4,15.0,59.0,36.0,28,3,98.46153846153847,1
Crushing injury of neck,"Injury, poisoning and certain other consequences of external causes",5,5,0.0,0.0,0.0,0.0,1.0,0,1.0,1.0,2.0,3,0,100.0,1
Other and unspecified injuries of neck,"Injury, poisoning and certain other consequences of external causes",401,392,5.0,2.0,2.0,166.0,2.0,15,69.0,141.0,115.0,113,18,97.75561097256858,1
Superficial injury of thorax,"Injury, poisoning and certain other consequences of external causes",1990,1952,22.0,9.0,7.0,60.0,2.0,79,79.0,235.0,575.0,1230,308,98.09045226130654,1
Open wound of thorax,"Injury, poisoning and certain other consequences of external causes",619,579,28.0,11.0,1.0,25.0,3.0,17,101.0,322.0,177.0,95,33,93.53796445880452,1
"Fracture of rib(s), sternum and thoracic spine","Injury, poisoning and certain other consequences of external causes",28373,27410,281.0,172.0,510.0,68.0,9.0,47,240.0,2285.0,9585.0,26456,6311,96.60592817114862,1
"Dislocation, sprain and strain of joints and ligaments of thorax","Injury, poisoning and certain other consequences of external causes",103,97,4.0,1.0,1.0,140.0,4.0,0,3.0,27.0,29.0,67,11,94.1747572815534,1
Injury of nerves and spinal cord at thorax level,"Injury, poisoning and certain other consequences of external causes",129,71,8.0,13.0,37.0,263.0,64.0,0,14.0,55.0,92.0,85,5,55.03875968992248,0
Injury of blood vessels of thorax,"Injury, poisoning and certain other consequences of external causes",86,79,3.0,2.0,2.0,43.0,20.0,0,13.0,57.0,41.0,44,4,91.86046511627907,1
Injury of heart,"Injury, poisoning and certain other consequences of external causes",53,50,1.0,0.0,2.0,0.0,6.0,0,5.0,27.0,28.0,21,1,94.33962264150944,1
Injury of other and unspecified intrathoracic organs,"Injury, poisoning and certain other consequences of external causes",4340,4134,90.0,38.0,78.0,20.0,7.0,22,224.0,1178.0,2132.0,2662,488,95.25345622119815,1
Crushing injury of thorax and traumatic amputation of part of thorax,"Injury, poisoning and certain other consequences of external causes",9,9,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,3.0,6,3,100.0,1
Other and unspecified injuries of thorax,"Injury, poisoning and certain other consequences of external causes",1082,935,124.0,21.0,2.0,26.0,1.0,2,20.0,322.0,341.0,450,102,86.41404805914972,1
"Superficial injury of abdomen, lower back and pelvis","Injury, poisoning and certain other consequences of external causes",5117,4752,179.0,80.0,106.0,34.0,2.0,256,575.0,1121.0,1321.0,2493,518,92.86691420754349,1
"Open wound of abdomen, lower back and pelvis","Injury, poisoning and certain other consequences of external causes",3119,2909,122.0,50.0,38.0,75.0,2.0,200,639.0,1480.0,855.0,336,35,93.26707277973709,1
Fracture of lumbar spine and pelvis,"Injury, poisoning and certain other consequences of external causes",27363,25658,312.0,309.0,1084.0,66.0,12.0,16,477.0,2556.0,5861.0,30494,9579,93.76895808208164,1
"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injury, poisoning and certain other consequences of external causes",327,302,19.0,4.0,2.0,158.0,3.0,1,9.0,101.0,142.0,123,13,92.35474006116208,1
"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injury, poisoning and certain other consequences of external causes",92,66,7.0,3.0,16.0,226.0,45.0,1,7.0,42.0,64.0,47,0,71.73913043478261,0
"Injury of blood vessels at abdomen, lower back and pelvis level","Injury, poisoning and certain other consequences of external causes",183,169,7.0,6.0,1.0,42.0,9.0,3,9.0,117.0,109.0,102,11,92.34972677595628,1
Injury of intra-abdominal organs,"Injury, poisoning and certain other consequences of external causes",2519,2369,83.0,23.0,44.0,44.0,9.0,37,486.0,1401.0,1083.0,987,112,94.04525605398968,1
Injury of urinary and pelvic organs,"Injury, poisoning and certain other consequences of external causes",1401,1250,100.0,29.0,22.0,63.0,5.0,7,193.0,481.0,423.0,751,112,89.22198429693077,1
"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injury, poisoning and certain other consequences of external causes",43,42,0.0,0.0,1.0,0.0,2.0,0,5.0,19.0,17.0,11,0,97.67441860465115,1
"Other and unspecified injuries of abdomen, lower back and pelvis","Injury, poisoning and certain other consequences of external causes",2297,2173,48.0,25.0,51.0,53.0,2.0,39,310.0,769.0,703.0,817,156,94.60165433173705,1
Superficial injury of shoulder and upper arm,"Injury, poisoning and certain other consequences of external causes",1694,1644,27.0,15.0,8.0,85.0,3.0,76,118.0,146.0,283.0,1109,428,97.04840613931523,1
Open wound of shoulder and upper arm,"Injury, poisoning and certain other consequences of external causes",1585,1392,133.0,46.0,14.0,10.0,2.0,33,328.0,511.0,293.0,443,219,87.82334384858044,1
Fracture of shoulder and upper arm,"Injury, poisoning and certain other consequences of external causes",33005,25106,5668.0,1730.0,501.0,10.0,6.0,1611,4487.0,4226.0,8737.0,21500,4795,76.0672625359794,0
"Dislocation, sprain and strain of joints and ligaments of shoulder girdle","Injury, poisoning and certain other consequences of external causes",3735,2835,754.0,109.0,37.0,79.0,4.0,3,106.0,1005.0,1050.0,2004,487,75.90361445783132,0
Injury of nerves at shoulder and upper arm level,"Injury, poisoning and certain other consequences of external causes",94,61,30.0,2.0,1.0,23.0,2.0,2,11.0,50.0,24.0,20,10,64.8936170212766,0
Injury of blood vessels at shoulder and upper arm level,"Injury, poisoning and certain other consequences of external causes",72,69,1.0,2.0,0.0,0.0,6.0,1,10.0,48.0,32.0,14,1,95.83333333333334,1
Injury of muscle and tendon at shoulder and upper arm level,"Injury, poisoning and certain other consequences of external causes",4364,1574,2433.0,352.0,5.0,50.0,1.0,5,38.0,1211.0,2601.0,732,85,36.06782768102658,0
Crushing injury of shoulder and upper arm,"Injury, poisoning and certain other consequences of external causes",3,3,0.0,0.0,0.0,0.0,18.0,0,0.0,1.0,2.0,0,2,100.0,1
Traumatic amputation of shoulder and upper arm,"Injury, poisoning and certain other consequences of external causes",5,4,0.0,1.0,0.0,0.0,18.0,0,0.0,8.0,3.0,0,0,80.0,0
Other and unspecified injuries of shoulder and upper arm,"Injury, poisoning and certain other consequences of external causes",665,632,27.0,2.0,4.0,75.0,3.0,17,29.0,89.0,130.0,434,154,95.03759398496241,1
Superficial injury of forearm,"Injury, poisoning and certain other consequences of external causes",1858,1765,56.0,25.0,12.0,29.0,2.0,112,280.0,213.0,265.0,971,348,94.994617868676,1
Open wound of forearm,"Injury, poisoning and certain other consequences of external causes",7693,6491,922.0,224.0,56.0,8.0,2.0,61,1022.0,2304.0,1863.0,2429,1083,84.3754062134408,0
Fracture of forearm,"Injury, poisoning and certain other consequences of external causes",45441,27955,13241.0,3978.0,267.0,6.0,3.0,1090,10546.0,6921.0,13611.0,17415,2769,61.51933276116283,0
"Dislocation, sprain and strain of joints and ligaments of elbow","Injury, poisoning and certain other consequences of external causes",839,548,244.0,44.0,3.0,36.0,2.0,58,210.0,215.0,279.0,140,20,65.31585220500597,0
Injury of nerves at forearm level,"Injury, poisoning and certain other consequences of external causes",339,186,122.0,27.0,4.0,30.0,3.0,2,44.0,174.0,103.0,60,2,54.86725663716814,0
Injury of blood vessels at forearm level,"Injury, poisoning and certain other consequences of external causes",166,139,23.0,3.0,1.0,4.0,3.0,1,16.0,86.0,64.0,27,5,83.73493975903614,0
Injury of muscle and tendon at forearm level,"Injury, poisoning and certain other consequences of external causes",2096,969,893.0,180.0,54.0,44.0,1.0,12,189.0,1054.0,715.0,183,7,46.23091603053435,0
Crushing injury of forearm,"Injury, poisoning and certain other consequences of external causes",16,15,0.0,1.0,0.0,0.0,5.0,0,0.0,8.0,10.0,2,0,93.75,1
Traumatic amputation of forearm,"Injury, poisoning and certain other consequences of external causes",5,4,1.0,0.0,0.0,0.0,7.0,0,0.0,12.0,1.0,0,0,80.0,0
Other and unspecified injuries of forearm,"Injury, poisoning and certain other consequences of external causes",248,233,8.0,6.0,1.0,124.0,2.0,29,26.0,35.0,53.0,108,41,93.95161290322581,1
Superficial injury of wrist and hand,"Injury, poisoning and certain other consequences of external causes",2423,1849,423.0,130.0,21.0,23.0,1.0,157,348.0,587.0,604.0,729,168,76.31035905901776,0
Open wound of wrist and hand,"Injury, poisoning and certain other consequences of external causes",32119,20786,8738.0,2222.0,373.0,5.0,1.0,1893,4201.0,11094.0,10722.0,4826,494,64.71558890376413,0
Fracture at wrist and hand level,"Injury, poisoning and certain other consequences of external causes",24999,12130,10253.0,2288.0,328.0,6.0,1.0,470,3989.0,10898.0,6665.0,3689,574,48.5219408776351,0
"Dislocation, sprain and strain of joints and ligaments at wrist and hand level","Injury, poisoning and certain other consequences of external causes",3443,1676,1518.0,211.0,38.0,47.0,1.0,12,251.0,1238.0,1312.0,729,71,48.67847807144932,0
Injury of nerves at wrist and hand level,"Injury, poisoning and certain other consequences of external causes",4024,1394,2141.0,363.0,126.0,8.0,1.0,55,408.0,1898.0,1460.0,292,0,34.642147117296226,0
Injury of blood vessels at wrist and hand level,"Injury, poisoning and certain other consequences of external causes",341,225,90.0,17.0,9.0,3.0,2.0,7,32.0,144.0,142.0,56,0,65.98240469208211,0
Injury of muscle and tendon at wrist and hand level,"Injury, poisoning and certain other consequences of external causes",8559,3465,4209.0,708.0,177.0,27.0,1.0,59,669.0,4138.0,3046.0,795,15,40.483701366982125,0
Crushing injury of wrist and hand,"Injury, poisoning and certain other consequences of external causes",758,429,245.0,71.0,13.0,3.0,0.0,140,165.0,200.0,188.0,76,0,56.596306068601585,0
Traumatic amputation of wrist and hand,"Injury, poisoning and certain other consequences of external causes",3754,2273,1192.0,228.0,61.0,7.0,2.0,403,409.0,1046.0,1450.0,547,22,60.548748002131056,0
Other and unspecified injuries of wrist and hand,"Injury, poisoning and certain other consequences of external causes",1095,830,201.0,57.0,7.0,32.0,1.0,58,148.0,321.0,309.0,282,70,75.79908675799086,0
Superficial injury of hip and thigh,"Injury, poisoning and certain other consequences of external causes",3259,3106,88.0,39.0,26.0,96.0,4.0,114,152.0,316.0,568.0,2624,792,95.3053083768027,1
Open wound of hip and thigh,"Injury, poisoning and certain other consequences of external causes",1649,1483,123.0,36.0,7.0,12.0,3.0,31,529.0,653.0,428.0,197,35,89.93329290479079,1
Fracture of femur,"Injury, poisoning and certain other consequences of external causes",78397,74125,703.0,820.0,2749.0,60.0,17.0,1020,1118.0,1983.0,9993.0,85271,26093,94.55081189331224,1
"Dislocation, sprain and strain of joint and ligaments of hip","Injury, poisoning and certain other consequences of external causes",722,649,53.0,7.0,13.0,218.0,4.0,12,67.0,108.0,128.0,475,130,89.88919667590028,1
Injury of nerves at hip and thigh level,"Injury, poisoning and certain other consequences of external causes",32,22,8.0,1.0,1.0,63.0,8.0,2,4.0,14.0,10.0,14,0,68.75,0
Injury of blood vessels at hip and thigh level,"Injury, poisoning and certain other consequences of external causes",73,68,3.0,1.0,1.0,34.0,10.0,0,7.0,42.0,37.0,35,4,93.15068493150685,1
Injury of muscle and tendon at hip and thigh level,"Injury, poisoning and certain other consequences of external causes",3464,2221,963.0,256.0,24.0,20.0,4.0,5,135.0,730.0,1660.0,1527,177,64.11662817551964,0
Crushing injury of hip and thigh,"Injury, poisoning and certain other consequences of external causes",9,9,0.0,0.0,0.0,0.0,12.0,0,1.0,3.0,5.0,1,0,100.0,1
Traumatic amputation of hip and thigh,"Injury, poisoning and certain other consequences of external causes",3,3,0.0,0.0,0.0,0.0,13.0,0,0.0,8.0,1.0,0,0,100.0,1
Other and unspecified injuries of hip and thigh,"Injury, poisoning and certain other consequences of external causes",1082,1046,13.0,12.0,11.0,112.0,4.0,11,61.0,73.0,201.0,945,293,96.67282809611831,1
Superficial injury of lower leg,"Injury, poisoning and certain other consequences of external causes",6150,5719,279.0,105.0,47.0,23.0,4.0,153,238.0,562.0,1391.0,4562,1176,92.9918699186992,1
Open wound of lower leg,"Injury, poisoning and certain other consequences of external causes",7994,7026,713.0,210.0,45.0,14.0,4.0,71,1135.0,1650.0,1827.0,3912,1379,87.89091818864148,1
"Fracture of lower leg, including ankle","Injury, poisoning and certain other consequences of external causes",52211,41560,7465.0,2231.0,955.0,9.0,8.0,512,5618.0,15263.0,22169.0,20806,2909,79.60008427342898,0
"Dislocation, sprain and strain of joints and ligaments of knee","Injury, poisoning and certain other consequences of external causes",7945,1849,5798.0,279.0,19.0,129.0,3.0,15,1081.0,4308.0,2006.0,1031,163,23.27249842668345,0
Injury of nerves at lower leg level,"Injury, poisoning and certain other consequences of external causes",75,52,18.0,3.0,2.0,85.0,5.0,0,8.0,49.0,19.0,12,4,69.33333333333334,0
Injury of blood vessels at lower leg level,"Injury, poisoning and certain other consequences of external causes",81,76,4.0,1.0,0.0,21.0,13.0,0,8.0,39.0,46.0,37,3,93.82716049382715,1
Injury of muscle and tendon at lower leg level,"Injury, poisoning and certain other consequences of external causes",2999,1725,1044.0,213.0,17.0,49.0,2.0,6,101.0,1155.0,1362.0,626,26,57.51917305768589,0
Crushing injury of lower leg,"Injury, poisoning and certain other consequences of external causes",43,41,1.0,0.0,1.0,1.0,5.0,2,2.0,24.0,15.0,12,1,95.34883720930233,1
Traumatic amputation of lower leg,"Injury, poisoning and certain other consequences of external causes",34,27,1.0,1.0,5.0,14.0,35.0,0,0.0,9.0,32.0,13,0,79.41176470588235,0
Other and unspecified injuries of lower leg,"Injury, poisoning and certain other consequences of external causes",1232,1153,51.0,17.0,11.0,77.0,3.0,30,104.0,169.0,308.0,741,167,93.58766233766234,1
Superficial injury of ankle and foot,"Injury, poisoning and certain other consequences of external causes",1560,1370,125.0,49.0,16.0,33.0,2.0,181,144.0,297.0,409.0,634,157,87.82051282051282,1
Open wound of ankle and foot,"Injury, poisoning and certain other consequences of external causes",3629,2663,722.0,230.0,14.0,16.0,2.0,364,886.0,955.0,1032.0,753,107,73.38109672085974,0
"Fracture of foot, except ankle","Injury, poisoning and certain other consequences of external causes",7166,5368,1357.0,357.0,84.0,15.0,4.0,54,529.0,2593.0,2860.0,2464,434,74.90929388780351,0
"Dislocation, sprain and strain of joints and ligaments at ankle and foot level","Injury, poisoning and certain other consequences of external causes",1966,1457,432.0,60.0,17.0,96.0,2.0,14,142.0,687.0,676.0,627,149,74.10986775178027,0
Injury of nerves at ankle and foot level,"Injury, poisoning and certain other consequences of external causes",32,18,12.0,2.0,0.0,54.0,4.0,1,7.0,14.0,12.0,5,0,56.25,0
Injury of blood vessels at ankle and foot level,"Injury, poisoning and certain other consequences of external causes",13,10,3.0,0.0,0.0,16.0,12.0,1,2.0,2.0,4.0,6,3,76.92307692307693,0
Injury of muscle and tendon at ankle and foot level,"Injury, poisoning and certain other consequences of external causes",459,276,148.0,32.0,3.0,41.0,2.0,23,59.0,176.0,174.0,58,3,60.130718954248366,0
Crushing injury of ankle and foot,"Injury, poisoning and certain other consequences of external causes",86,63,16.0,6.0,1.0,23.0,2.0,14,18.0,24.0,22.0,15,2,73.25581395348837,0
Traumatic amputation of ankle and foot,"Injury, poisoning and certain other consequences of external causes",104,94,9.0,1.0,0.0,14.0,5.0,12,14.0,33.0,34.0,33,1,90.38461538461539,1
Other and unspecified injuries of ankle and foot,"Injury, poisoning and certain other consequences of external causes",939,691,235.0,7.0,6.0,59.0,2.0,42,66.0,188.0,302.0,369,84,73.58892438764644,0
Superficial injuries involving multiple body regions,"Injury, poisoning and certain other consequences of external causes",857,807,30.0,11.0,9.0,73.0,3.0,73,150.0,102.0,135.0,414,176,94.1656942823804,1
Open wounds involving multiple body regions,"Injury, poisoning and certain other consequences of external causes",1305,1145,116.0,39.0,5.0,13.0,4.0,10,250.0,405.0,377.0,417,162,87.73946360153256,1
Fractures involving multiple body regions,"Injury, poisoning and certain other consequences of external causes",1564,1289,171.0,64.0,40.0,12.0,13.0,9,167.0,456.0,617.0,934,125,82.41687979539643,0
"Dislocations, sprains and strains involving multiple body regions","Injury, poisoning and certain other consequences of external causes",72,62,10.0,0.0,0.0,60.0,4.0,3,4.0,41.0,17.0,23,1,86.11111111111111,1
Crushing injuries involving multiple body regions,"Injury, poisoning and certain other consequences of external causes",11,11,0.0,0.0,0.0,0.0,28.0,0,0.0,9.0,3.0,7,0,100.0,1
Traumatic amputations involving multiple body regions,"Injury, poisoning and certain other consequences of external causes",9,5,2.0,1.0,1.0,17.0,26.0,0,0.0,5.0,6.0,0,0,55.55555555555556,0
"Other injuries involving multiple body regions, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",74,63,8.0,2.0,1.0,13.0,11.0,0,3.0,32.0,44.0,32,0,85.13513513513513,1
"Fracture of spine, level unspecified","Injury, poisoning and certain other consequences of external causes",3,2,0.0,1.0,0.0,0.0,4.0,0,0.0,0.0,2.0,2,0,66.66666666666666,0
"Other injuries of spine and trunk, level unspecified","Injury, poisoning and certain other consequences of external causes",186,168,8.0,2.0,8.0,89.0,5.0,12,7.0,51.0,61.0,77,16,90.32258064516128,1
"Fracture of upper limb, level unspecified","Injury, poisoning and certain other consequences of external causes",4,3,0.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,1,2,75.0,0
"Other injuries of upper limb, level unspecified","Injury, poisoning and certain other consequences of external causes",492,443,29.0,10.0,10.0,13.0,2.0,22,107.0,98.0,68.0,183,95,90.04065040650406,1
"Fracture of lower limb, level unspecified","Injury, poisoning and certain other consequences of external causes",5,4,0.0,0.0,1.0,0.0,2.0,0,0.0,2.0,3.0,1,0,80.0,0
"Other injuries of lower limb, level unspecified","Injury, poisoning and certain other consequences of external causes",426,388,23.0,7.0,8.0,63.0,3.0,34,31.0,71.0,108.0,201,80,91.07981220657277,1
Injury of unspecified body region,"Injury, poisoning and certain other consequences of external causes",53,47,4.0,2.0,0.0,116.0,2.0,1,0.0,13.0,23.0,30,2,88.67924528301887,1
Foreign body on external eye,"Injury, poisoning and certain other consequences of external causes",546,380,155.0,10.0,1.0,28.0,0.0,51,80.0,217.0,152.0,56,0,69.59706959706959,0
Foreign body in ear,"Injury, poisoning and certain other consequences of external causes",3871,1573,2155.0,137.0,6.0,24.0,0.0,947,1760.0,460.0,415.0,327,23,40.6354947042108,0
Foreign body in respiratory tract,"Injury, poisoning and certain other consequences of external causes",4505,3671,671.0,120.0,43.0,25.0,1.0,1774,593.0,560.0,928.0,1270,171,81.48723640399555,0
Foreign body in alimentary tract,"Injury, poisoning and certain other consequences of external causes",8747,8178,409.0,104.0,56.0,46.0,2.0,675,1549.0,4540.0,2684.0,2186,171,93.49491254144277,1
Foreign body in genitourinary tract,"Injury, poisoning and certain other consequences of external causes",1526,1319,160.0,37.0,10.0,79.0,1.0,17,230.0,783.0,418.0,126,10,86.435124508519,1
Burn and corrosion of head and neck,"Injury, poisoning and certain other consequences of external causes",1684,1347,101.0,154.0,82.0,19.0,6.0,721,259.0,344.0,413.0,216,26,79.98812351543944,0
Burn and corrosion of trunk,"Injury, poisoning and certain other consequences of external causes",1910,1415,174.0,219.0,102.0,3.0,7.0,712,309.0,322.0,426.0,428,64,74.08376963350786,0
"Burn and corrosion of shoulder and upper limb, except wrist and hand","Injury, poisoning and certain other consequences of external causes",1526,1048,208.0,226.0,44.0,3.0,5.0,522,206.0,304.0,392.0,253,29,68.67627785058977,0
Burn and corrosion of wrist and hand,"Injury, poisoning and certain other consequences of external causes",1973,1377,236.0,304.0,56.0,8.0,2.0,793,319.0,380.0,381.0,207,18,69.79219462747086,0
"Burn and corrosion of hip and lower limb, except ankle and foot","Injury, poisoning and certain other consequences of external causes",1977,1410,277.0,217.0,73.0,6.0,4.0,416,412.0,493.0,459.0,382,62,71.32018209408194,0
Burn and corrosion of ankle and foot,"Injury, poisoning and certain other consequences of external causes",1276,866,186.0,184.0,40.0,12.0,4.0,345,195.0,241.0,417.0,208,19,67.86833855799374,0
Burn and corrosion confined to eye and adnexa,"Injury, poisoning and certain other consequences of external causes",140,116,20.0,4.0,0.0,35.0,3.0,20,19.0,65.0,45.0,14,2,82.85714285714286,0
Burn and corrosion of respiratory tract,"Injury, poisoning and certain other consequences of external causes",28,28,0.0,0.0,0.0,0.0,10.0,2,1.0,17.0,25.0,17,0,100.0,1
Burn and corrosion of other internal organs,"Injury, poisoning and certain other consequences of external causes",106,99,7.0,0.0,0.0,187.0,7.0,21,18.0,61.0,59.0,28,1,93.39622641509435,1
Burns and corrosions of multiple body regions,"Injury, poisoning and certain other consequences of external causes",257,219,12.0,12.0,14.0,82.0,9.0,52,28.0,78.0,83.0,91,5,85.21400778210116,1
"Burn and corrosion, body region unspecified","Injury, poisoning and certain other consequences of external causes",2,2,0.0,0.0,0.0,0.0,2.0,0,0.0,1.0,0.0,4,0,100.0,1
Burns classified according to extent of body surface involved,"Injury, poisoning and certain other consequences of external causes",6,5,1.0,0.0,0.0,0.0,4.0,1,0.0,2.0,3.0,1,0,83.33333333333334,0
Corrosions classified according to extent of body surface involved,"Injury, poisoning and certain other consequences of external causes",1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,100.0,1
Superficial frostbite,"Injury, poisoning and certain other consequences of external causes",8,6,1.0,0.0,1.0,0.0,5.0,0,1.0,6.0,1.0,1,0,75.0,0
Frostbite with tissue necrosis,"Injury, poisoning and certain other consequences of external causes",25,14,10.0,1.0,0.0,8.0,32.0,0,0.0,18.0,16.0,3,0,56.00000000000001,0
Frostbite involving multiple body regions and unspecified frostbite,"Injury, poisoning and certain other consequences of external causes",15,11,3.0,1.0,0.0,2.0,5.0,0,1.0,7.0,3.0,6,0,73.33333333333333,0
Poisoning by systemic antibiotics,"Injury, poisoning and certain other consequences of external causes",254,241,8.0,2.0,3.0,102.0,2.0,19,78.0,82.0,72.0,49,11,94.88188976377953,1
Poisoning by other systemic anti-infectives and antiparasitics,"Injury, poisoning and certain other consequences of external causes",114,113,0.0,1.0,0.0,0.0,4.0,14,27.0,34.0,38.0,35,7,99.12280701754386,1
"Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",2289,2267,7.0,4.0,11.0,101.0,4.0,48,310.0,1124.0,1222.0,705,49,99.03888160768895,1
"Poisoning by nonopioid analgesics, antipyretics and antirheumatics","Injury, poisoning and certain other consequences of external causes",31945,31809,45.0,32.0,59.0,16.0,2.0,335,11499.0,17992.0,9841.0,3213,294,99.57426827359525,1
Poisoning by narcotics and psychodysleptics [hallucinogens],"Injury, poisoning and certain other consequences of external causes",9595,9550,11.0,12.0,22.0,161.0,3.0,49,771.0,4918.0,5954.0,1997,214,99.53100573215217,1
Poisoning by anaesthetics and therapeutic gases,"Injury, poisoning and certain other consequences of external causes",467,440,16.0,10.0,1.0,35.0,3.0,5,63.0,473.0,56.0,4,0,94.21841541755889,1
"Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs","Injury, poisoning and certain other consequences of external causes",7405,7377,13.0,6.0,9.0,106.0,3.0,55,457.0,4313.0,4508.0,1309,106,99.62187711006078,1
"Poisoning by psychotropic drugs, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",11719,11682,10.0,7.0,20.0,69.0,2.0,136,1724.0,7528.0,5600.0,1202,31,99.68427340216742,1
Poisoning by drugs primarily affecting the autonomic nervous system,"Injury, poisoning and certain other consequences of external causes",1714,1705,4.0,1.0,4.0,93.0,2.0,64,237.0,918.0,755.0,348,35,99.47491248541424,1
"Poisoning by primarily systemic and haematological agents, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",1900,1850,23.0,14.0,13.0,19.0,2.0,97,603.0,631.0,570.0,569,79,97.36842105263158,1
Poisoning by agents primarily affecting the cardiovascular system,"Injury, poisoning and certain other consequences of external causes",1360,1348,2.0,5.0,5.0,0.0,3.0,86,171.0,216.0,602.0,848,84,99.11764705882354,1
Poisoning by agents primarily affecting the gastrointestinal system,"Injury, poisoning and certain other consequences of external causes",250,248,0.0,1.0,1.0,0.0,3.0,22,66.0,94.0,78.0,70,12,99.2,1
Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,"Injury, poisoning and certain other consequences of external causes",153,146,6.0,1.0,0.0,65.0,2.0,38,28.0,56.0,23.0,37,0,95.42483660130719,1
"Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs","Injury, poisoning and certain other consequences of external causes",209,207,1.0,0.0,1.0,28.0,1.0,94,40.0,40.0,31.0,23,5,99.04306220095694,1
"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances","Injury, poisoning and certain other consequences of external causes",1951,1936,5.0,4.0,6.0,12.0,3.0,100,286.0,861.0,899.0,475,48,99.23116350589441,1
Toxic effect of alcohol,"Injury, poisoning and certain other consequences of external causes",632,630,0.0,1.0,1.0,0.0,3.0,34,90.0,299.0,370.0,79,1,99.68354430379746,1
Toxic effect of organic solvents,"Injury, poisoning and certain other consequences of external causes",328,321,2.0,1.0,4.0,26.0,3.0,101,63.0,111.0,105.0,35,1,97.86585365853658,1
Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons,"Injury, poisoning and certain other consequences of external causes",23,23,0.0,0.0,0.0,0.0,1.0,9,0.0,10.0,3.0,2,1,100.0,1
Toxic effect of corrosive substances,"Injury, poisoning and certain other consequences of external causes",573,564,5.0,1.0,3.0,49.0,3.0,59,124.0,344.0,165.0,106,6,98.42931937172776,1
Toxic effect of soaps and detergents,"Injury, poisoning and certain other consequences of external causes",109,109,0.0,0.0,0.0,0.0,1.0,56,26.0,10.0,5.0,21,2,100.0,1
Toxic effect of metals,"Injury, poisoning and certain other consequences of external causes",287,277,2.0,4.0,4.0,0.0,6.0,7,32.0,132.0,174.0,156,2,96.51567944250871,1
Toxic effect of other inorganic substances,"Injury, poisoning and certain other consequences of external causes",6,6,0.0,0.0,0.0,0.0,1.0,3,1.0,3.0,4.0,0,0,100.0,1
Toxic effect of carbon monoxide,"Injury, poisoning and certain other consequences of external causes",165,162,0.0,2.0,1.0,0.0,3.0,3,11.0,45.0,84.0,79,13,98.18181818181819,1
"Toxic effect of other gases, fumes and vapours","Injury, poisoning and certain other consequences of external causes",637,623,6.0,2.0,6.0,3.0,5.0,34,55.0,215.0,264.0,296,41,97.8021978021978,1
Toxic effect of pesticides,"Injury, poisoning and certain other consequences of external causes",123,116,6.0,0.0,1.0,40.0,3.0,24,14.0,71.0,41.0,25,2,94.3089430894309,1
Toxic effect of noxious substances eaten as seafood,"Injury, poisoning and certain other consequences of external causes",19,19,0.0,0.0,0.0,0.0,2.0,0,0.0,6.0,9.0,9,1,100.0,1
Toxic effect of other noxious substances eaten as food,"Injury, poisoning and certain other consequences of external causes",153,147,1.0,3.0,2.0,2.0,1.0,54,30.0,45.0,37.0,18,0,96.07843137254902,1
